product_category_name,unique_orders,unique_customers,total_revenue,avg_price,median_price,price_std,total_items,avg_freight,avg_weight,revenue_per_customer,items_per_order,price_volatility,revenue_share,order_share,customer_penetration,revenue_rank
telefonia_fixa,217,217,61701.26,227.68,64.98,422.01,271,17.58,564.51,284.33760368663593,1.2488479262672811,1.8535224877020378,0.44,0.22,0.23,32
climatizacao,253,251,55962.38,185.31,139.99,188.46,302,22.68,4099.69,222.9576892430279,1.1936758893280632,1.01699854298203,0.4,0.26,0.27,33
audio,350,349,52450.37,138.03,89.0,158.71,380,15.74,1216.39,150.28759312320918,1.0857142857142856,1.1498225023545607,0.37,0.36,0.37,34
portateis_casa_forno_e_cafe,75,75,48945.71,627.51,618.0,602.21,78,36.98,5176.82,652.6094666666667,1.04,0.9596819174196428,0.35,0.08,0.08,35
moveis_cozinha_area_de_servico_jantar_e_jardim,248,247,48501.07,162.76,119.0,162.32,298,42.34,8695.56,196.3606072874494,1.2016129032258065,0.9972966330793807,0.35,0.25,0.26,36
livros_interesse_geral,512,506,48197.45,85.31,44.9,106.45,565,16.69,765.7,95.25187747035572,1.103515625,1.2478021333958504,0.34,0.52,0.54,37
construcao_ferramentas_seguranca,167,166,41977.51,210.94,128.25,315.43,199,20.04,790.88,252.87656626506026,1.1916167664670658,1.4953541291362473,0.3,0.17,0.18,38
construcao_ferramentas_iluminacao,244,244,41738.9,133.35,100.0,129.3,313,24.71,3301.01,171.0610655737705,1.2827868852459017,0.9696287964004501,0.3,0.25,0.26,39
industria_comercio_e_negocios,235,233,40055.61,147.81,104.0,252.1,271,29.36,6669.96,171.91248927038626,1.1531914893617021,1.705567958866112,0.29,0.24,0.25,40
alimentos,450,445,30119.44,57.26,48.89,41.31,526,14.32,658.06,67.68413483146067,1.1688888888888889,0.7214460356269647,0.21,0.46,0.47,41
market_place,280,279,29350.1,88.4,62.8,126.59,332,17.59,1111.83,105.19749103942652,1.1857142857142857,1.4320135746606335,0.21,0.29,0.3,42
construcao_ferramentas_jardim,194,191,26200.09,106.94,47.99,149.52,245,22.36,2294.61,137.17324607329843,1.2628865979381443,1.398167196558818,0.19,0.2,0.2,43
artes,202,202,24721.97,112.89,97.5,435.61,219,19.14,1547.37,122.3859900990099,1.0841584158415842,3.858712020550979,0.18,0.21,0.21,44
fashion_calcados,240,238,24609.37,89.82,77.4,66.12,274,18.59,1033.58,103.40071428571429,1.1416666666666666,0.7361389445557783,0.18,0.24,0.25,45
bebidas,297,292,22854.56,59.21,47.49,67.65,386,15.2,1069.53,78.26904109589042,1.2996632996632997,1.1425434892754602,0.16,0.3,0.31,46
moveis_quarto,95,91,21925.68,175.41,169.0,115.82,125,44.03,10157.4,240.94153846153847,1.3157894736842106,0.6602816259050225,0.16,0.1,0.1,47
sinalizacao_e_seguranca,140,139,21584.81,107.39,74.9,124.18,201,32.52,3852.53,155.28640287769784,1.4357142857142857,1.1563460284942733,0.15,0.14,0.15,48
livros_tecnicos,260,259,19270.91,71.37,57.49,62.49,270,16.06,1008.56,74.40505791505791,1.0384615384615385,0.8755779739386297,0.14,0.27,0.28,49
alimentos_bebidas,227,225,16363.53,56.62,38.99,70.43,289,16.36,1101.71,72.7268,1.2731277533039647,1.2439067467326035,0.12,0.23,0.24,50
construcao_ferramentas_ferramentas,97,97,16072.9,153.08,59.99,262.14,105,19.83,1157.93,165.7,1.0824742268041236,1.7124379409459105,0.11,0.1,0.1,51
fashion_roupa_masculina,112,110,11631.61,80.22,59.9,53.04,145,16.16,573.45,105.74190909090909,1.2946428571428572,0.6611817501869858,0.08,0.11,0.12,52
fashion_underwear_e_moda_praia,121,121,10330.25,71.74,59.9,47.03,144,14.51,268.92,85.37396694214875,1.1900826446280992,0.6555617507666575,0.07,0.12,0.13,53
artigos_de_natal,128,128,8826.84,56.95,39.9,52.5,155,20.99,1871.86,68.9596875,1.2109375,0.9218612818261632,0.06,0.13,0.14,54
tablets_impressao_imagem,79,79,7840.31,90.12,99.0,91.28,87,14.95,304.66,99.24443037974685,1.1012658227848102,1.012871726586773,0.06,0.08,0.08,55
cine_foto,65,65,6945.36,95.14,69.0,127.13,73,17.31,1146.33,106.8516923076923,1.123076923076923,1.3362413285684254,0.05,0.07,0.07,56
dvds_blu_ray,59,58,6459.14,90.97,24.0,246.86,71,20.15,595.14,111.3644827586207,1.2033898305084745,2.7136418599538312,0.05,0.06,0.06,57
musica,38,38,6258.2,156.45,54.89,223.71,40,17.88,1849.5,164.68947368421053,1.0526315789473684,1.4299137104506234,0.04,0.04,0.04,58
livros_importados,53,52,4851.85,78.26,64.0,92.95,62,13.05,625.81,93.3048076923077,1.169811320754717,1.1877076411960132,0.03,0.05,0.06,59
moveis_colchao_e_estofado,38,38,4835.88,117.95,85.0,83.0,41,41.77,8446.34,127.26,1.0789473684210527,0.7036880033912675,0.03,0.04,0.04,60
artigos_de_festas,39,39,4755.18,103.37,69.9,110.82,46,19.16,2134.78,121.92769230769231,1.1794871794871795,1.0720712005417432,0.03,0.04,0.04,61
portateis_cozinha_e_preparadores_de_alimentos,14,14,3968.53,264.57,34.9,411.06,15,20.65,2838.33,283.4664285714286,1.0714285714285714,1.5536908946592585,0.03,0.01,0.01,62
fashion_roupa_feminina,39,39,2803.64,58.41,49.5,39.17,48,12.95,553.12,71.88820512820513,1.2307692307692308,0.6706043485704504,0.02,0.04,0.04,63
la_cuisine,13,13,2303.98,144.0,133.0,74.3,16,24.18,3618.75,177.22923076923078,1.2307692307692308,0.5159722222222222,0.02,0.01,0.01,64
fashion_esporte,27,27,2119.51,70.65,59.9,49.18,30,19.27,340.0,78.50037037037038,1.1111111111111112,0.6961075725406936,0.02,0.03,0.03,65
artes_e_artesanato,23,21,1814.01,75.58,44.9,74.0,24,15.42,1369.88,86.38142857142857,1.0434782608695652,0.9790949986768986,0.01,0.02,0.02,66
pc_gamer,8,8,1675.94,167.59,129.99,48.89,10,14.86,1978.4,209.4925,1.25,0.29172384987171074,0.01,0.01,0.01,67
fraldas_higiene,27,26,1567.59,40.19,37.0,25.08,39,14.71,665.38,60.29192307692308,1.4444444444444444,0.62403582980841,0.01,0.03,0.03,68
flores,29,29,1110.04,33.64,25.99,16.74,33,14.81,1834.85,38.27724137931035,1.1379310344827587,0.4976218787158144,0.01,0.03,0.03,69
casa_conforto_2,24,23,773.17,24.94,12.9,41.03,31,13.59,823.81,33.616086956521734,1.2916666666666667,1.6451483560545308,0.01,0.02,0.02,70
cds_dvds_musicais,12,12,730.0,52.14,45.0,9.94,14,16.07,550.0,60.833333333333336,1.1666666666666667,0.19064058304564632,0.01,0.01,0.01,71
fashion_roupa_infanto_juvenil,8,8,569.85,71.23,69.94,31.83,8,11.94,265.0,71.23125,1.0,0.44686227713042254,0.0,0.01,0.01,72
seguros_e_servicos,2,2,283.29,141.64,141.64,58.89,2,20.61,812.5,141.645,1.0,0.4157723806834228,0.0,0.0,0.0,73
